period_label,year,month,value_millions
Jun'07,2007,6,6.11
Sep'07,2007,9,6.38
Dec'07,2007,12,6.45
Mar'08,2008,3,6.59
Jun'08,2008,6,6.79
Sep'08,2008,9,7.1
Dec'08,2008,12,7.3
Mar'09,2009,3,7.46
Jun'09,2009,6,7.85
Sep'09,2009,9,8.09
Dec'09,2009,12,8.18
Mar'10,2010,3,8.37
Jun'10,2010,6,8.59
Sep'10,2010,9,8.49
Dec'10,2010,12,8.61
Mar'11,2011,3,8.63
Jun'11,2011,6,8.8
Sep'11,2011,9,8.83
Dec'11,2011,12,8.93
Mar'12,2012,3,9.05
Jun'12,2012,6,9.22
Sep'12,2012,9,9.25
Dec'12,2012,12,9.34
Mar'13,2013,3,9.53
Jun'13,2013,6,9.69
Sep'13,2013,9,9.76
Dec'13,2013,12,9.93
Mar'14,2014,3,9.6
Jun'14,2014,6,9.95
Sep'14,2014,9,10.05
Dec'14,2014,12,10.26
Mar'15,2015,3,10.41
Jun'15,2015,6,10.53
Sep'15,2015,9,9.91
Dec'15,2015,12,9.87
Mar'16,2016,3,9.55
Jun'16,2016,6,9.67
Sep'16,2016,9,9.85
Dec'16,2016,12,9.76
Mar'17,2017,3,9.69
Jun'17,2017,6,9.69
Sep'17,2017,9,9.87
Dec'17,2017,12,9.7
Mar'18,2018,3,9.69
Jun'18,2018,6,9.57
Sep'18,2018,9,8.98
Dec'18,2018,12,10.16
Mar'19,2019,3,10.15
Jun'19,2019,6,10.23
Sep'19,2019,9,10.8
Dec'19,2019,12,10.71
Mar'20,2020,3,10.47
Jun'20,2020,6,10.0
Sep'20,2020,9,10.64
Dec'20,2020,12,10.61
Mar'21,2021,3,10.52
Jun'21,2021,6,10.07
Sep'21,2021,9,10.17
Dec'21,2021,12,9.88
Mar'22,2022,3,10.04
Jun'22,2022,6,9.88
Sep'22,2022,9,9.76
Dec'22,2022,12,9.71
Mar'23,2023,3,9.82
Jun'23,2023,6,10.02
Sep'23,2023,9,9.94
Dec'23,2023,12,9.9
Mar'24,2024,3,10.09
Jun'24,2024,6,10.25
Sep'24,2024,9,10.19
Dec'24,2024,12,10.22
