period_label,year,month,impaired,credit_active,impairment_rate_pct
Jun'07,2007,6,6.11,16.78,36.41
Sep'07,2007,9,6.38,16.9,37.75
Dec'07,2007,12,6.45,17.12,37.68
Mar'08,2008,3,6.59,17.14,38.45
Jun'08,2008,6,6.79,17.17,39.55
Sep'08,2008,9,7.1,17.53,40.5
Dec'08,2008,12,7.3,17.56,41.57
Mar'09,2009,3,7.46,17.61,42.36
Jun'09,2009,6,7.85,17.79,44.13
Sep'09,2009,9,8.09,18.01,44.92
Dec'09,2009,12,8.18,18.07,45.27
Mar'10,2010,3,8.37,18.21,45.96
Jun'10,2010,6,8.59,18.32,46.89
Sep'10,2010,9,8.49,18.35,46.27
Dec'10,2010,12,8.61,18.51,46.52
Mar'11,2011,3,8.63,18.6,46.4
Jun'11,2011,6,8.8,18.84,46.71
Sep'11,2011,9,8.83,19.1,46.23
Dec'11,2011,12,8.93,19.34,46.17
Mar'12,2012,3,9.05,19.49,46.43
Jun'12,2012,6,9.22,19.6,47.04
Sep'12,2012,9,9.25,19.69,46.98
Dec'12,2012,12,9.34,19.97,46.77
Mar'13,2013,3,9.53,20.08,47.46
Jun'13,2013,6,9.69,20.21,47.95
Sep'13,2013,9,9.76,20.29,48.1
Dec'13,2013,12,9.93,20.64,48.11
Mar'14,2014,3,9.6,21.71,44.22
Jun'14,2014,6,9.95,22.12,44.98
Sep'14,2014,9,10.05,22.5,44.67
Dec'14,2014,12,10.26,22.84,44.92
Mar'15,2015,3,10.41,23.11,45.05
Jun'15,2015,6,10.53,23.37,45.06
Sep'15,2015,9,9.91,23.45,42.26
Dec'15,2015,12,9.87,23.74,41.58
Mar'16,2016,3,9.55,23.88,39.99
Jun'16,2016,6,9.67,24.08,40.16
Sep'16,2016,9,9.85,24.25,40.62
Dec'16,2016,12,9.76,24.31,40.15
Mar'17,2017,3,9.69,24.68,39.26
Jun'17,2017,6,9.69,24.78,39.1
Sep'17,2017,9,9.87,25.08,39.35
Dec'17,2017,12,9.7,25.31,38.32
Mar'18,2018,3,9.69,25.46,38.06
Jun'18,2018,6,9.57,24.59,38.92
Sep'18,2018,9,8.98,24.05,37.34
Dec'18,2018,12,10.16,25.85,39.3
Mar'19,2019,3,10.15,25.7,39.49
Jun'19,2019,6,10.23,25.1,40.76
Sep'19,2019,9,10.8,25.14,42.96
Dec'19,2019,12,10.71,25.2,42.5
Mar'20,2020,3,10.47,27.99,37.41
Jun'20,2020,6,10.0,26.96,37.09
Sep'20,2020,9,10.64,27.66,38.47
Dec'20,2020,12,10.61,27.41,38.71
Mar'21,2021,3,10.52,27.53,38.21
Jun'21,2021,6,10.07,26.22,38.41
Sep'21,2021,9,10.17,26.42,38.49
Dec'21,2021,12,9.88,26.38,37.45
Mar'22,2022,3,10.04,26.48,37.92
Jun'22,2022,6,9.88,26.52,37.25
Sep'22,2022,9,9.76,26.65,36.62
Dec'22,2022,12,9.71,26.9,36.1
Mar'23,2023,3,9.82,27.07,36.28
Jun'23,2023,6,10.02,27.05,37.04
Sep'23,2023,9,9.94,27.41,36.26
Dec'23,2023,12,9.9,27.46,36.05
Mar'24,2024,3,10.09,27.92,36.14
Jun'24,2024,6,10.25,28.15,36.41
Sep'24,2024,9,10.19,28.32,35.98
Dec'24,2024,12,10.22,28.61,35.72
